GENE	ACC#
ABL1	A0A024R8E2
ABL2	P42684
ALK	B6D4Y2
AXL	M0R0W6
BLK	E9PJX5
BMPR2	Q13873
BMX	P51813
BTK	Q06187
CSF1R	P07333
CSK	A8K3B6
DDR1	Q08345
DDR2	A0A024R906
EGFR	P00533
EPHA1	P21709
EPHA2	A0A024QZA8
EPHA3	A0A140VJJ0
EPHA4	A0A024R452
EPHA5	B7ZKJ3
EPHA6	A0A0B4J1T8
EPHA7	Q15375
EPHA8	P29322
EPHB1	P54762
EPHB2	B4DSE0
EPHB3	P54753
EPHB4	P54760
ERBB2	P04626
ERBB4	Q15303
FER	P16591
FES	P07332
FGFR1	A0A0S2Z3Q6
FGFR2	P21802
FGFR3	P22607
FGFR4	B4DVP5
FGR	P09769
FLT1	P17948
FLT3	P36888
FLT4	P35916
FRK	P42685
FYN	P06241
HCK	P08631
IGF1R	P08069
INSR	P06213
INSRR	P14616
ITK	Q08881
JAK1	P23458
JAK2	O60674
JAK3	A0A024R7M7
KDR	A0A024RD88
KIT	A0A024RDA0
LCK	A0A0S2Z3Y8
LIMK1	P53667
LIMK2	P53671
LTK	P29376
LYN	P07948
MAP2K4	P45985
MAP2K6	A0A024R8K3
MAP2K7	B4DV95
MATK	P42679
MERTK	Q12866
MET	A0A024R759
MST1R	B4E058
MUSK	O15146
MYT1	Q01538
NEK10	Q6ZWH5
NTRK1	P04629
NTRK2	Q16620
NTRK3	Q96CY4
PDGFRA	P16234
PDGFRB	P09619
PDK1	Q15118
PDK3	Q15120
PDK4	A4D1H4
PINK1	Q9BXM7
PTK2	Q05397
PTK2B	Q14289
PTK6	Q13882
RET	P07949
ROS1	P08922
SRC	P12931
SRMS	Q9H3Y6
SYK	A0A024R273
TEC	P42680
TEK	Q02763
TESK1	Q15569
TNK1	Q13470
TNK2	Q07912
TNNI3K	Q59H18
TXK	P42681
TYK2	A0A024R7E4
TYRO3	H0YNK6
WEE1	P30291
YES1	P07947
ZAP70	P43403
